volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
1.44523668e8,88.7007,92.865,86.36,93.74,85.38,2022-05-09T04:00:00.0,901147
1.37235451e8,88.0634,89.18,88.73,90.7721,85.41,2022-05-10T04:00:00.0,735895
1.36137858e8,90.3059,87.84,87.92,93.46,86.53,2022-05-11T04:00:00.0,859974
1.29214223e8,85.6857,86.6,87.06,88.55,83.27,2022-05-12T04:00:00.0,882934
1.38068073e8,93.7404,88.3,95.12,96.57,88.22,2022-05-13T04:00:00.0,816979
1.31065665e8,95.6253,93.86,94.24,98.169,93.0801,2022-05-16T04:00:00.0,712616
1.64227181e8,100.8915,97.88,102.47,103.2,97.54,2022-05-17T04:00:00.0,889771
1.42028221e8,99.0566,100.0,96.28,104.22,95.71,2022-05-18T04:00:00.0,818276
1.41506169e8,98.2046,96.69,96.67,100.69,95.09,2022-05-19T04:00:00.0,782101
1.64126807e8,92.4659,98.385,93.5,98.64,88.26,2022-05-20T04:00:00.0,910029
1.2877304e8,93.392,91.66,95.07,95.19,90.92,2022-05-23T04:00:00.0,662108
1.23333688e8,91.2651,92.54,91.16,93.42,89.62,2022-05-24T04:00:00.0,641683
1.11771116e8,91.6585,90.425,92.65,93.89,89.52,2022-05-25T04:00:00.0,590112
1.28792745e8,97.6949,91.34,98.75,100.33,90.74,2022-05-26T04:00:00.0,735280
1.04378026e8,101.1786,100.14,102.26,102.4,99.38,2022-05-27T04:00:00.0,575889
1.25102894e8,102.6935,102.43,101.86,104.55,100.04,2022-05-31T04:00:00.0,646485
9.9335389e7,101.5856,102.13,101.22,103.57,99.55,2022-06-01T04:00:00.0,572835
1.20953796e8,106.4954,100.78,108.59,109.5,100.78,2022-06-02T04:00:00.0,708964
1.10844697e8,106.5871,105.8,106.3,109.39,104.65,2022-06-03T04:00:00.0,619292
9.6720492e7,106.515,108.27,105.65,109.57,104.225,2022-06-06T04:00:00.0,530803
7.9022851e7,104.882,104.24,105.28,106.24,102.61,2022-06-07T04:00:00.0,430737
9.7641865e7,102.9249,104.57,101.9,105.848,100.41,2022-06-08T04:00:00.0,554984
9.5298975e7,101.4918,101.57,98.8,103.94,98.74,2022-06-09T04:00:00.0,542028
1.02212244e8,96.1105,98.82,94.82,99.928,94.25,2022-06-10T04:00:00.0,641201
9.8148812e7,88.878,91.26,86.99,92.03,86.64,2022-06-13T04:00:00.0,658721
8.4046617e7,87.0239,87.41,86.99,88.3,85.8201,2022-06-14T04:00:00.0,495940
9.5774807e7,88.3705,87.9,89.3,90.86,86.19,2022-06-15T04:00:00.0,565401
1.02333342e8,82.7891,86.63,82.05,86.73,80.64,2022-06-16T04:00:00.0,635567
1.05162293e8,81.5812,82.19,81.57,82.94,79.43,2022-06-17T04:00:00.0,561648
8.7740567e7,84.4948,84.17,83.79,85.81,82.6,2022-06-21T04:00:00.0,470133
8.6564716e7,84.5042,84.4,83.75,86.375,83.3001,2022-06-22T04:00:00.0,446457
1.00614559e8,82.1052,84.315,82.43,84.41,80.2251,2022-06-23T04:00:00.0,516188
8.8303886e7,86.2039,83.56,87.08,87.53,83.0801,2022-06-24T04:00:00.0,454965
7.4663487e7,86.6564,87.355,86.16,88.22,85.25,2022-06-27T04:00:00.0,371911
9.5751533e7,82.5051,85.71,80.78,86.73,80.43,2022-06-28T04:00:00.0,587475
1.04140697e8,77.6986,79.55,77.99,79.75,76.51,2022-06-29T04:00:00.0,629902
1.05363616e8,77.0635,77.73,76.47,78.91,75.48,2022-06-30T04:00:00.0,551028
8.7734237e7,73.7533,75.185,73.67,75.45,72.69,2022-07-01T04:00:00.0,559956
9.5685751e7,73.8129,71.98,75.2,75.21,71.6,2022-07-05T04:00:00.0,566550
8.5458857e7,74.8279,75.17,75.35,76.28,73.55,2022-07-06T04:00:00.0,461877
8.3640945e7,78.831,77.195,79.3,79.99,76.9,2022-07-07T04:00:00.0,460860
8.3333931e7,79.032,78.31,79.35,80.47,77.4,2022-07-08T04:00:00.0,427164
7.6247536e7,77.1301,77.845,76.95,78.29,75.8417,2022-07-11T04:00:00.0,400090
7.7873214e7,76.1027,76.98,76.36,77.44,74.43,2022-07-12T04:00:00.0,410535
7.9354976e7,77.5508,74.94,77.52,79.11,74.48,2022-07-13T04:00:00.0,444034
8.3493646e7,77.6831,78.23,78.6,79.25,76.0,2022-07-14T04:00:00.0,456065
